"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Validation","11","0","Negative Scenarios","0"
"0","","0","","38","3","","0"
"1","CISCE Preliminary Affiliation Form","0","End-to-End Form Submission","9","0","Complete Preliminary Form Submission","0"
"1","","1","Upload Validation","5","0","","0"
"0","","0","Validation","3","0","Negative Scenarios — Single Leased","0"
"0","","0","Validation","5","0","Negative Scenarios — Single Owned","0"
"0","","1","School Details","8","0","Boundary Value Analysis","0"
"0","","1","Address Details Validation","2","0","Boundary Value Validation","0"
"0","","2","School Details","6","0","Valid Form Submission","0"
"1","","0","Payment Gateway Accessibility","2","0","Bank Payment Flow Verification","0"
"0","","0","Boundary Validation","6","0","Boundary Value Scenarios","0"
"0","","0","Boundary Validation","4","0","","0"
"0","","0","","2","0","Complete Preliminary Form Submission","0"
"0","","1","Boundary Validation","3","0","Boundary Value Scenarios — Single Owned","0"
"0","","0","Form State Management","1","0","Path Switching","0"
"0","","0","Successful NOC Details Submission","2","0","Positive Scenarios","0"
"0","","0","Address Details Validation","6","0","Negative Validation Scenarios","0"
"0","","0","Successful Land Certificate Submission","5","0","Positive Scenarios — Single Owned","0"
"0","","0","Boundary Validation","2","0","Boundary Value Scenarios — Multiple Plots","0"
"0","","0","Successful Land Certificate Submission","2","0","Positive Scenarios — Multiple Plots","0"
"0","","0","Successful Upload & Submission","9","0","","0"
"0","","0","Address Details","1","0","Required Field Validation","0"
"0","","0","UI Behaviour","4","0","","0"
"0","","1","School Details","3","0","Format Validation","0"
"0","","1","Conditional Fields","0","0","Renewal Clause Toggle","0"
"0","","0","Conditional Fields","1","0","Multiple Plot Nested Chain","0"
"0","","0","Conditional Fields","1","0","Sale Deed Toggle","0"
"0","","0","Address Details","3","0","Valid Form Submission","0"
"0","","0","School Details","1","0","Required Field Validation","0"
"0","","0","Form Rendering","1","0","Owned Form Load","0"
"0","","1","Successful Land Certificate Submission","1","0","Positive Scenarios — Single Leased","0"
"0","","0","Mandatory Field Validation","1","0","Owned Path — All Mandatory Fields Empty","0"
"0","","0","Validation","2","0","Negative Scenarios — Multiple Plots","0"
"0","","0","Mandatory Field Validation","1","0","Leased Path — All Mandatory Fields Empty","0"
"1","","1","Mandatory Prerequisites","1","0","","0"
"0","","0","Mandatory Field Validation","2","0","All Mandatory Fields Empty","0"
"0","","0","Boundary Validation","1","0","Boundary Value Scenarios — Single Leased","0"
"0","","0","Mandatory Field Validation","1","0","Multiple Plot — All Mandatory Fields Empty","0"
"0","","0","Successful Trust Details Submission","2","0","Positive Scenarios","0"
