"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that registration with an already registered mobile number fails.","0","R3 - Registration with duplicate mobile fails","tests","2026-06-30","passed","2026-06-30","TestAuthenticationRegression","test_sanity_regression_suite","",""
"Verify that unauthenticated users are redirected to login page.","0","R10 - Unauthenticated user redirected to login","tests","2026-06-30","passed","2026-06-30","TestAuthenticationRegression","test_sanity_regression_suite","",""
"Verify that trust/society documents can be uploaded successfully.","1","S11 - School can upload trust/society details","tests","2026-06-30","passed","2026-06-30","TestPreliminaryAffiliationSanity","test_sanity_regression_suite","",""
"Verify that school user can access the preliminary affiliation dashboard.","1","S8 - School can access preliminary dashboard","tests","2026-06-30","passed","2026-06-30","TestPreliminaryAffiliationSanity","test_sanity_regression_suite","",""
"Verify that trust/society details form data is saved correctly.","0","R18 - Trust details form saves correctly","tests","2026-06-30","passed","2026-06-30","TestPreliminaryAffiliationRegression","test_sanity_regression_suite","",""
"Verify that multiple failed login attempts are handled properly.","1","R12 - Multiple failed login attempts handling","tests","2026-06-30","passed","2026-06-30","TestAuthenticationRegression","test_sanity_regression_suite","",""
"Verify that council user can view submitted preliminary applications.","1","S13 - Council can view preliminary applications","tests","2026-06-30","passed","2026-06-30","TestPreliminaryAffiliationSanity","test_sanity_regression_suite","",""
"Verify that registration with invalid country code is rejected.","1","R4 - Registration with invalid country code fails","tests","2026-06-30","passed","2026-06-30","TestAuthenticationRegression","test_sanity_regression_suite","",""
"Verify that the login page loads successfully and is accessible.","1","S1 - User can access login page","tests","2026-06-30","passed","2026-06-30","TestAuthenticationSanity","test_sanity_regression_suite","",""
"Verify that school details form can be filled and submitted successfully.","2","S9 - School can submit school details form","tests","2026-06-30","passed","2026-06-30","TestPreliminaryAffiliationSanity","test_sanity_regression_suite","",""
"Verify that logout properly terminates the user session.","0","S5 - Logout terminates session","tests","2026-06-30","passed","2026-06-30","TestAuthenticationSanity","test_sanity_regression_suite","",""
"Verify that expired OTP is properly rejected.","0","R14 - OTP expiry validation works","tests","2026-06-30","passed","2026-06-30","TestAuthenticationRegression","test_sanity_regression_suite","",""
"Verify that uploading invalid file types for NOC document is rejected.","0","R17 - NOC upload with invalid file type rejected","tests","2026-06-30","passed","2026-06-30","TestPreliminaryAffiliationRegression","test_sanity_regression_suite","",""
"Verify that council user cannot access school-specific routes.","0","R7 - Council role cannot access school routes","tests","2026-06-30","passed","2026-06-30","TestAuthenticationRegression","test_sanity_regression_suite","",""
"Verify proper validation message is shown for invalid credentials.","0","R1 - Login with invalid credentials shows error","tests","2026-06-30","passed","2026-06-30","TestAuthenticationRegression","test_sanity_regression_suite","",""
"Verify that school user cannot access council-specific routes.","1","R9 - School role cannot access council routes","tests","2026-06-30","passed","2026-06-30","TestAuthenticationRegression","test_sanity_regression_suite","",""
"Verify that required field validations work on school details form.","1","R16 - School details form validation (required fields)","tests","2026-06-30","passed","2026-06-30","TestPreliminaryAffiliationRegression","test_sanity_regression_suite","",""
"Verify that user can login with valid mobile number and password.","1","S2 - User can login with valid credentials","tests","2026-06-30","passed","2026-06-30","TestAuthenticationSanity","test_sanity_regression_suite","",""
"Verify that password reset with invalid OTP is handled correctly.","1","R5 - Password reset with invalid OTP fails","tests","2026-06-30","passed","2026-06-30","TestAuthenticationRegression","test_sanity_regression_suite","",""
"Verify that resend password/OTP functionality works correctly.","1","R15 - Resend password functionality works","tests","2026-06-30","passed","2026-06-30","TestAuthenticationRegression","test_sanity_regression_suite","",""
"End-to-End Regression & Sanity Test

School ID: SCH005
Covers: Registration → Login → School Details → Address → NOC → Trust Details → Land Certificate → Document Upload → Payment","154658","Preliminary Form - SCH005","tests","2026-06-30","passed","2026-06-30","","test_preliminary_form_main","",""
